_key,productKey,quantity,sellingPrice,discountPrice,offerPrice,availabilityQuantity
160424,307,0,3.77,0,3.77,0
160425,308,0,3.87,0,3.87,0
160426,309,0,3.7,0.48,3.22,0
160427,310,0,3.81,1.03,2.78,0
160428,311,0,4.69,1.31,3.38,0
160429,312,0,3.64,0,3.64,0
160430,313,0,3.61,0.58,3.03,0
160431,314,0,2,0,2,0
160432,315,0,3.69,0,3.69,0
160433,316,0,3.78,0.91,2.87,0
160434,317,0,3.81,0,3.81,0
160435,318,0,3.54,0.25,3.3,0
160436,319,0,3.25,0.78,2.47,0
160437,320,0,3.37,0.34,3.03,0
160438,321,0,3.73,0.75,2.98,0
160439,322,0,3.47,0.42,3.05,0
160440,326,0,3.22,0.9,2.32,0
160441,327,0,3.76,0,3.76,0
160442,329,0,3.89,0,3.89,0
160443,330,0,3.42,0,3.42,0
160444,331,0,3.8,0.49,3.3,0
160445,332,0,2.04,0.47,1.57,0
160446,333,0,3.51,0.35,3.15,0
160447,334,0,3.22,0,3.22,0
160448,335,0,5.46,0.49,4.97,0
160449,336,0,3.67,0.18,3.49,0
160450,337,0,3.43,1,2.44,0
160451,338,0,3.86,1,2.85,0
160452,339,0,3.82,0,3.82,0
160453,340,0,3.22,0,3.22,0
160454,342,0,3.61,0.36,3.25,0
160455,343,0,3.16,0.73,2.43,0
160456,344,0,3.99,0.64,3.35,0
160457,345,0,3.8,0.34,3.46,0
160458,346,0,4.12,0,4.12,0
160459,347,0,3.93,0,3.93,0
160460,348,0,3.29,0.63,2.67,0
160461,349,0,3.89,1.09,2.8,0
160462,350,0,3.61,0.79,2.81,0
160463,363,0,3.23,0.42,2.81,0
160464,364,0,3.71,0,3.71,0
160465,377,0,3.91,0,3.91,0
160466,378,0,3.65,0,3.65,0
160467,379,0,3.35,0.7,2.65,0
160468,380,0,3.63,0.29,3.34,0
160469,381,0,3.81,0,3.81,0
160470,383,0,3.45,0,3.45,0
160471,387,0,3.73,0,3.73,0
160472,388,0,3.57,1.07,2.5,0
160473,389,0,4.55,0,4.55,0
160474,390,0,3.2,0,3.2,0
160475,391,0,3.8,0.87,2.92,0
160476,392,0,3.08,0.65,2.43,0
160477,393,0,3.51,0,3.51,0
160478,395,0,3.88,1.01,2.87,0
160479,396,0,3.86,0,3.86,0
160480,397,0,3.92,0.31,3.61,0
160481,398,0,3.71,0,3.71,0
160482,400,0,3.03,0,3.03,0
160483,401,0,3.66,0.8,2.85,0
160484,402,0,3.6,0,3.6,0
160485,403,0,3.64,0.33,3.31,0
160486,404,0,3.01,0.3,2.71,0
160487,405,0,3.51,0.74,2.77,0
160488,406,0,3.83,0.61,3.21,0
160489,407,0,3.94,0,3.94,0
160490,408,0,3.89,0,3.89,0
160491,409,0,3.68,0,3.68,0
160492,410,0,3.59,1.04,2.55,0
160493,411,0,3.41,0,3.41,0
160494,414,0,3.84,0.23,3.61,0
160495,415,0,2.55,0.74,1.81,0
160496,421,0,3.71,0.74,2.97,0
160497,422,0,3.67,0.22,3.45,0
160498,423,0,5.79,1.62,4.17,0
160499,424,0,5.23,0.99,4.24,0
160500,425,0,3.12,0,3.12,0
160501,426,0,5.25,0,5.25,0
160502,427,0,3.08,0.59,2.5,0
160503,428,0,3.38,0.51,2.88,0
160504,429,0,4.78,0,4.78,0
160505,430,0,3.2,0,3.2,0
160506,431,0,3.73,0,3.73,0
160507,433,0,2.99,0.27,2.72,0
160508,434,0,3.26,0.26,3,0
160509,435,0,3.21,0,3.21,0
160510,436,0,3.41,0.31,3.11,0
160511,437,0,3.46,0,3.46,0
160512,438,0,3.24,0.94,2.3,0
160513,439,0,3.46,0,3.46,0
160514,440,0,2.23,0,2.23,0
160515,441,0,3.38,0.44,2.94,0
160516,442,0,3.36,0.44,2.92,0
160517,445,0,3.1,0,3.1,0
160518,451,0,3.71,0,3.71,0
160519,452,0,3.1,0.74,2.36,0
160520,453,0,3.9,0,3.9,0
160521,454,0,3.69,0,3.69,0
160522,455,0,3.55,0.5,3.05,0
160523,457,0,3.43,0,3.43,0
160524,458,0,3.6,0,3.6,0
160525,459,0,3.12,0.81,2.31,0
160526,460,0,3.41,0,3.41,0
160527,462,0,3.07,0.71,2.36,0
160528,464,0,3.5,1.02,2.49,0
160529,465,0,3.49,0,3.49,0
160530,466,0,3.43,0,3.43,0
160531,467,0,3.29,0,3.29,0
160532,468,0,3.32,0.66,2.66,0
160533,469,0,3.83,0.69,3.14,0
160534,470,0,3.44,0,3.44,0
160535,471,0,3.96,0,3.96,0
160536,473,0,3.54,0.28,3.25,0
160537,475,0,3.06,0,3.06,0
160538,476,0,3.13,0.25,2.88,0
160539,479,0,3.35,0.77,2.58,0
160540,480,0,3.66,0.77,2.89,0
160541,481,0,3.67,0.4,3.27,0
160542,482,0,3.77,0,3.77,0
160543,483,0,3.55,0,3.55,0
160544,488,0,3.21,0,3.21,0
160545,489,0,3.91,0,3.91,0
160546,490,0,3.58,0,3.58,0
160547,492,0,3.73,0.6,3.13,0
160548,493,0,3.08,0,3.08,0
160549,494,0,3.75,0,3.75,0
160550,496,0,3.63,0,3.63,0
160551,497,0,5.14,0.72,4.42,0
160552,499,0,3.63,0,3.63,0
160553,500,0,4.69,0,4.69,0
160554,501,0,3.68,0,3.68,0
160555,502,0,3.01,0.84,2.16,0
160556,503,0,3.87,0.77,3.1,0
160557,504,0,3.58,0,3.58,0
160558,505,0,3.26,0.72,2.54,0
160559,506,0,3.68,0.48,3.2,0
160560,507,0,3.53,0.67,2.86,0
160561,508,0,3.22,0,3.22,0
160562,509,0,3.14,0,3.14,0
160563,510,0,5.42,0,5.42,0
160564,511,0,3.42,0,3.42,0
160565,512,0,3.97,0,3.97,0
160566,513,0,3.22,0,3.22,0
160567,521,0,3.64,0.22,3.42,0
160568,522,0,3.95,1.15,2.81,0
160569,523,0,3.17,0,3.17,0
160570,524,0,3.6,0.58,3.02,0
160571,525,0,3.91,0,3.91,0
160572,526,0,3.75,0,3.75,0
160573,527,0,3.78,0.49,3.29,0
160574,530,0,3.42,0,3.42,0
160575,531,0,3.98,0,3.98,0
160576,532,0,3.45,0,3.45,0
160577,533,0,3.87,0,3.87,0
160578,534,0,3.91,0.98,2.93,0
160579,535,0,3.82,0,3.82,0
160580,537,0,3.31,0,3.31,0
160581,539,0,5.99,0,5.99,0
160582,540,0,3.07,0.89,2.18,0
160583,541,0,3.41,0,3.41,0
160584,542,0,3.88,0.47,3.42,0
160585,543,0,3.08,0.83,2.25,0
160586,544,0,3.08,0.46,2.62,0
160587,546,0,3.17,0.67,2.51,0
160588,547,0,3.35,0.17,3.18,0
160589,548,0,4.27,0.85,3.42,0
160590,549,0,3.85,0,3.85,0
160591,550,0,5.36,0.48,4.88,0
160592,551,0,3.09,0.46,2.63,0
160593,552,0,3.94,1.14,2.8,0
160594,553,0,3.26,0.56,2.71,0
160595,554,0,3.97,1.15,2.82,0
160596,557,0,3.4,0,3.4,0
160597,558,0,3.48,0,3.48,0
160598,559,0,3.89,0,3.89,0
160599,560,0,3.05,0.76,2.29,0
160600,561,0,3.47,0.83,2.64,0
160601,562,0,3.17,0,3.17,0
160602,563,0,3.33,0,3.33,0
160603,564,0,3.14,0,3.14,0
160604,565,0,3.06,0.46,2.6,0
160605,567,0,4.91,1.38,3.54,0
160606,568,0,3.87,0,3.87,0
160607,570,0,3.01,0,3.01,0
160608,571,0,3.91,1.02,2.89,0
160609,572,0,3.28,0.89,2.4,0
160610,573,0,3.69,0,3.69,0
160611,574,0,3.48,0.21,3.27,0
160612,575,0,3.58,0,3.58,0
160613,576,0,3.77,1.13,2.64,0
160614,577,0,3.33,0.43,2.9,0
160615,578,0,3.23,0,3.23,0
160616,579,0,3.38,0.51,2.87,0
160617,580,0,2.2,0.59,1.61,0
160618,581,0,3.74,0.26,3.48,0
160619,582,0,3.67,0.51,3.16,0
160620,583,0,3.33,0.77,2.57,0
160621,584,0,3.72,0.45,3.27,0
160622,585,0,3.89,0.27,3.62,0
160623,586,0,3.76,0,3.76,0
160624,587,0,3.86,1.16,2.71,0
160625,588,0,3.54,0,3.54,0
160626,590,0,3.19,0,3.19,0
160627,591,0,3.86,0,3.86,0
160628,592,0,3.87,0,3.87,0
160629,593,0,2.99,0,2.99,0
160630,594,0,3.3,0.66,2.64,0
160631,595,0,3.08,0,3.08,0
160632,596,0,3.35,1,2.34,0
160633,597,0,3.4,0,3.4,0
160634,598,0,4.41,0,4.41,0
160635,599,0,4.57,0,4.57,0
160636,600,0,3.74,0,3.74,0
160637,601,0,3.8,0,3.8,0
160638,602,0,3.35,0,3.35,0
160639,603,0,3.28,0,3.28,0
160640,604,0,3.61,0,3.61,0
160641,605,0,3.36,0.94,2.42,0
160642,606,0,3.59,0,3.59,0
160643,607,0,3.35,0.17,3.18,0
160644,608,0,3.57,0,3.57,0
160645,609,0,3.62,0.22,3.41,0
160646,612,0,3.48,0.59,2.89,0
160647,613,0,3.22,0.93,2.29,0
160648,614,0,3.45,1,2.45,0
160649,615,0,3.93,0,3.93,0
160650,616,0,3.77,0.9,2.86,0
160651,617,0,3.82,0,3.82,0
160652,618,0,3.71,0,3.71,0
160653,619,0,3.73,0,3.73,0
160654,620,0,3.21,0,3.21,0
160655,621,0,3.4,0.44,2.96,0
160656,622,0,3.84,0,3.84,0
160657,623,0,3.01,0.24,2.77,0
160658,624,0,3.68,0,3.68,0
160659,625,0,3.46,0.97,2.49,0
160660,626,0,3.18,0.19,2.99,0
160661,627,0,3.78,0.3,3.47,0
160662,628,0,3.31,0.86,2.45,0
160663,629,0,5.87,0,5.87,0
160664,630,0,3.37,0.74,2.63,0
160665,631,0,3.67,0.99,2.68,0
160666,632,0,3.37,0,3.37,0
160667,633,0,3.18,0,3.18,0
160668,634,0,3.62,0,3.62,0
160669,635,0,3.49,0,3.49,0
160670,636,0,3.98,0,3.98,0
160671,637,0,5.5,1.65,3.85,0
160672,638,0,3.08,0,3.08,0
160673,639,0,3.11,0,3.11,0
160674,640,0,3.17,0.47,2.69,0
160675,641,0,3.25,0,3.25,0
160676,642,0,3.5,0,3.5,0
160677,643,0,3.86,0,3.86,0
160678,644,0,3.25,0.33,2.93,0
160679,646,0,3.28,0,3.28,0
160680,647,0,3.33,0.47,2.86,0
160681,648,0,3.97,0.6,3.37,0
160682,649,0,3.59,0.5,3.09,0
160683,650,0,3.55,0,3.55,0
160684,651,0,3.97,1.15,2.82,0
160685,652,0,3.3,0.76,2.54,0
160686,653,0,3.91,0.43,3.48,0
160687,654,0,4.75,0,4.75,0
160688,655,0,3.37,0.74,2.63,0
160689,657,0,3.41,0,3.41,0
160690,658,0,3.63,0,3.63,0
160691,659,0,3.26,0.36,2.9,0
160692,660,0,3.18,0.7,2.48,0
160693,661,0,3.79,0,3.79,0
160694,662,0,3.08,0,3.08,0
160695,663,0,3.18,0.7,2.48,0
160696,664,0,3.27,0,3.27,0
160697,665,0,3.76,0.23,3.53,0
160698,666,0,3.98,0,3.98,0
160699,667,0,3.94,0.75,3.19,0
160700,668,0,3.63,0.58,3.05,0
160701,669,0,3.79,0.42,3.37,0
160702,670,0,4.42,0,4.42,0
160703,671,0,3.2,0.96,2.24,0
160704,672,0,3.72,0,3.72,0
160705,673,0,3.37,0,3.37,0
160706,674,0,3.86,0.85,3.01,0
160707,675,0,3.82,0.99,2.83,0
160708,676,0,3.1,0.53,2.57,0
160709,677,0,3.92,0,3.92,0
160710,678,0,3.05,0,3.05,0
160711,679,0,3.85,0,3.85,0
160712,680,0,5.84,1.4,4.44,0
160713,681,0,3.02,0,3.02,0
160714,682,0,3.05,0,3.05,0
160715,685,0,3.79,0,3.79,0
160716,686,0,3.81,1.14,2.67,0
160717,687,0,3.11,0.59,2.52,0
160718,688,0,3.95,0,3.95,0
160719,689,0,3.6,1.04,2.56,0
160720,690,0,3.69,0.63,3.06,0
160721,691,0,3.82,0,3.82,0
160722,692,0,3.65,0.88,2.77,0
160723,693,0,3.74,0.82,2.92,0
160724,694,0,4.05,0.73,3.32,0
160725,695,0,3.44,0,3.44,0
160726,696,0,3.96,0,3.96,0
160727,697,0,3.38,0,3.38,0
160728,698,0,3.28,0.75,2.52,0
160729,699,0,3.48,0.42,3.06,0
160730,700,0,3.53,0.46,3.07,0
160731,701,0,3.84,0,3.84,0
160732,702,0,3.44,1.03,2.41,0
160733,703,0,3.38,0.24,3.14,0
160734,704,0,3.49,0.77,2.72,0
160735,705,0,5.16,1.19,3.98,0
160736,706,0,3.03,0,3.03,0
160737,707,0,3.31,0,3.31,0
160738,708,0,3.28,0.23,3.05,0
160739,709,0,3.39,0.27,3.12,0
160740,710,0,3.19,0.54,2.65,0
160741,711,0,3.7,1,2.7,0
160742,712,0,3.02,0,3.02,0
160743,713,0,3.48,0,3.48,0
160744,714,0,3.87,0.7,3.17,0
160745,742,0,3.6,1.01,2.59,0
160746,744,0,3.06,0,3.06,0
160747,745,0,3.63,0,3.63,0
160748,746,0,3.05,0,3.05,0
160749,747,0,3.24,0,3.24,0
160750,750,0,3.67,0,3.67,0
160751,751,0,3.17,0.48,2.69,0
160752,752,0,3.28,0.16,3.12,0
160753,753,0,3.9,0,3.9,0
160754,754,0,3.86,0,3.86,0
160755,755,0,3.4,0.54,2.86,0
160756,756,0,3.56,0,3.56,0
160757,757,0,3.45,0,3.45,0
160758,758,0,3.37,0,3.37,0
160759,759,0,3.54,0,3.54,0
160760,760,0,3.08,0.89,2.19,0
160761,761,0,3.08,0,3.08,0
160762,762,0,3.86,0,3.86,0
160763,763,0,3.75,0.53,3.23,0
160764,764,0,3.55,0,3.55,0
160765,765,0,3.05,0,3.05,0
160766,766,0,3.28,0,3.28,0
160767,767,0,3.78,0.42,3.36,0
160768,768,0,3.22,0.74,2.48,0
160769,769,0,5.08,0,5.08,0
160770,770,0,3.99,1.08,2.91,0
160771,771,0,3.73,0.26,3.47,0
160772,772,0,3.82,0,3.82,0
160773,773,0,3.17,0,3.17,0
160774,775,0,3.87,0.85,3.02,0
160775,776,0,3.46,0,3.46,0
160776,777,0,3.42,0,3.42,0
160777,778,0,3.86,0.66,3.21,0
160778,779,0,3.54,0,3.54,0
160779,780,0,4.7,0,4.7,0
160780,781,0,3.12,0.75,2.37,0
160781,782,0,3.68,0,3.68,0
160782,783,0,3.62,0,3.62,0
160783,784,0,3.91,0.2,3.71,0
160784,786,0,3.67,0,3.67,0
160785,787,0,3.17,0.54,2.63,0
160786,788,0,3.87,0,3.87,0
160787,789,0,3.74,0.26,3.48,0
160788,790,0,3.1,0,3.1,0
160789,791,0,2.44,0,2.44,0
160790,792,0,3.29,0.46,2.83,0
160791,793,0,3.72,0,3.72,0
160792,794,0,3.62,0,3.62,0
160793,795,0,3.32,0,3.32,0
160794,796,0,3.34,0.4,2.94,0
160795,797,0,4.35,1.26,3.09,0
160796,798,0,3.08,0,3.08,0
160797,799,0,3.22,0,3.22,0
160798,800,0,3.78,0.83,2.95,0
160799,801,0,3.45,0.52,2.93,0
160800,802,0,3.14,0,3.14,0
160801,803,0,4.51,0.23,4.28,0
160802,804,0,3.53,1.06,2.47,0
160803,805,0,3.57,0,3.57,0
160804,806,0,3.6,0.29,3.31,0
160805,807,0,4.34,0.35,3.99,0
160806,808,0,3.5,0,3.5,0
160807,809,0,3.04,0,3.04,0
160808,810,0,3.51,0,3.51,0
160809,811,0,3.08,0,3.08,0
160810,812,0,3.95,0,3.95,0
160811,813,0,3.35,0,3.35,0
160812,814,0,3.35,0.54,2.81,0
160813,815,0,3.68,0.55,3.12,0
160814,816,0,3.41,0.68,2.73,0
160815,817,0,3.52,0,3.52,0
160816,818,0,3.27,0.75,2.52,0
160817,819,0,3.08,0,3.08,0
160818,820,0,3.96,0,3.96,0
160819,821,0,3.68,0.52,3.16,0
160820,822,0,3.79,0,3.79,0
160821,823,0,3.62,0,3.62,0
160822,824,0,3.35,0.17,3.18,0
160823,825,0,3.74,1.12,2.62,0
160824,826,0,3.68,0,3.68,0
160825,827,0,3.69,0,3.69,0
160826,828,0,3.24,0,3.24,0
160827,829,0,3.04,0,3.04,0
160828,830,0,3.63,0.87,2.76,0
160829,831,0,3.47,0,3.47,0
160830,832,0,5.83,0,5.83,0
160831,833,0,4.84,0,4.84,0
160832,834,0,3.81,0,3.81,0
160833,836,0,3.31,0.2,3.11,0
160834,837,0,3.56,0,3.56,0
160835,838,0,3.14,0.72,2.41,0
160836,839,0,3.17,0.54,2.63,0
160837,840,0,3.77,0,3.77,0
160838,841,0,3.03,0.58,2.46,0
160839,842,0,3.5,0,3.5,0
160840,843,0,3.48,0.84,2.65,0
160841,844,0,3.43,0,3.43,0
160842,845,0,3.43,0.99,2.43,0
160843,846,0,3.18,0.19,2.98,0
160844,847,0,3.74,0,3.74,0
160845,848,0,3.45,0,3.45,0
160846,849,0,3.73,0,3.73,0
160847,850,0,3.92,0.9,3.02,0
160848,851,0,3.33,0.5,2.83,0
160849,853,0,3.47,0.49,2.99,0
160850,854,0,3.34,0.87,2.47,0
160851,855,0,3.79,0,3.79,0
160852,856,0,3.51,0.7,2.81,0
160853,857,0,3.33,0.8,2.53,0
160854,858,0,3.68,0,3.68,0
160855,859,0,3.7,0.48,3.22,0
160856,860,0,3.5,0.88,2.63,0
160857,861,0,3.26,0,3.26,0
160858,862,0,3.24,0.16,3.08,0
160859,863,0,3.21,0,3.21,0
160860,864,0,3.14,0,3.14,0
160861,865,0,3.42,0,3.42,0
160862,866,0,3.36,0,3.36,0
160863,867,0,2.82,0.17,2.65,0
160864,868,0,3.29,0,3.29,0
160865,869,0,3.66,0,3.66,0
160866,870,0,3.07,0.15,2.92,0
160867,871,0,3.17,0.89,2.28,0
160868,872,0,3.07,0.55,2.52,0
160869,873,0,3.9,0.55,3.35,0
160870,874,0,3.56,0.92,2.63,0
160871,875,0,3.01,0.63,2.38,0
160872,876,0,3.19,0,3.19,0
160873,877,0,3.12,0,3.12,0
160874,878,0,3.5,0,3.5,0
